assertj-core                             [3.22.0]
com.google.gson                          [2.8.9.v20220111-1409]
com.google.gson.source                   [2.8.9.v20220111-1409]
com.ibm.icu                              [67.1.0.v20200706-1749]
com.ibm.icu.source                       [67.1.0.v20200706-1749]
com.jcraft.jsch                          [0.1.55.v20190404-1902]
com.jcraft.jsch.source                   [0.1.55.v20190404-1902]
com.sun.el                               [2.2.0.v201303151357]
com.sun.el.source                        [2.2.0.v201303151357]
com.sun.jna                              [5.8.0.v20210503-0343]
com.sun.jna.platform                     [5.8.0.v20210406-1004]
jakarta.servlet-api                      [4.0.0]
jakarta.servlet-api.source               [4.0.0]
javax.annotation                         [1.3.5.v20200909-1856]
javax.annotation.source                  [1.3.5.v20200909-1856]
javax.el                                 [2.2.0.v201303151357]
javax.el.source                          [2.2.0.v201303151357]
javax.inject                             [1.0.0.v20220405-0441]
javax.inject.source                      [1.0.0.v20220405-0441]
javax.servlet.jsp                        [2.2.0.v201112011158]
javax.servlet.jsp.source                 [2.2.0.v201112011158]
net.bytebuddy.byte-buddy                 [1.12.9]
net.bytebuddy.byte-buddy-agent           [1.12.9]
org.apache.ant                           [1.10.12.v20211102-1452]
org.apache.ant.source                    [1.10.12.v20211102-1452]
org.apache.batik.constants               [1.14.0.v20210324-0332]
org.apache.batik.constants.source        [1.14.0.v20210324-0332]
org.apache.batik.css                     [1.14.0.v20210324-0332]
org.apache.batik.css.source              [1.14.0.v20210324-0332]
org.apache.batik.i18n                    [1.14.0.v20210324-0332]
org.apache.batik.i18n.source             [1.14.0.v20210324-0332]
org.apache.batik.util                    [1.14.0.v20210324-0332]
org.apache.batik.util.source             [1.14.0.v20210324-0332]
org.apache.commons.codec                 [1.14.0.v20200818-1422]
org.apache.commons.codec.source          [1.14.0.v20200818-1422]
org.apache.commons.commons-fileupload    [1.4.0]
org.apache.commons.io                    [2.8.0.v20210415-0900]
org.apache.commons.io.source             [2.8.0.v20210415-0900]
org.apache.commons.jxpath                [1.3.0.v200911051830]
org.apache.commons.jxpath.source         [1.3.0.v200911051830]
org.apache.commons.logging               [1.2.0.v20180409-1502]
org.apache.commons.logging.source        [1.2.0.v20180409-1502]
org.apache.felix.gogo.command            [1.1.2.v20210111-1007]
org.apache.felix.gogo.command.source     [1.1.2.v20210111-1007]
org.apache.felix.gogo.runtime            [1.1.4.v20210111-1007]
org.apache.felix.gogo.runtime.source     [1.1.4.v20210111-1007]
org.apache.felix.gogo.shell              [1.1.4.v20210111-1007]
org.apache.felix.gogo.shell.source       [1.1.4.v20210111-1007]
org.apache.felix.scr                     [2.1.24.v20200924-1939]
org.apache.felix.scr.source              [2.1.24.v20200924-1939]
org.apache.httpcomponents.client5.httpclient5 [5.1.2.v20211217-1500]
org.apache.httpcomponents.client5.httpclient5-win [5.1.2.v20211217-1500]
org.apache.httpcomponents.client5.httpclient5-win.source [5.1.2.v20211217-1500]
org.apache.httpcomponents.client5.httpclient5.source [5.1.2.v20211217-1500]
org.apache.httpcomponents.core5.httpcore5 [5.1.2.v20211217-1500]
org.apache.httpcomponents.core5.httpcore5-h2 [5.1.2.v20211217-1500]
org.apache.httpcomponents.core5.httpcore5-h2.source [5.1.2.v20211217-1500]
org.apache.httpcomponents.core5.httpcore5.source [5.1.2.v20211217-1500]
org.apache.jasper.glassfish              [2.2.2.v201501141630]
org.apache.jasper.glassfish.source       [2.2.2.v201501141630]
org.apache.lucene.analyzers-common       [8.4.1.v20200122-1459]
org.apache.lucene.analyzers-common.source [8.4.1.v20200122-1459]
org.apache.lucene.analyzers-smartcn      [8.4.1.v20200122-1459]
org.apache.lucene.analyzers-smartcn.source [8.4.1.v20200122-1459]
org.apache.lucene.core                   [8.4.1.v20200122-1459]
org.apache.lucene.core.source            [8.4.1.v20200122-1459]
org.apache.sshd.osgi                     [2.8.0.v20211227-1750]
org.apache.sshd.osgi.source              [2.8.0.v20211227-1750]
org.apache.xmlgraphics                   [2.6.0.v20210409-0748]
org.apache.xmlgraphics.source            [2.6.0.v20210409-0748]
org.apiguardian                          [1.1.2.v20211018-1956]
org.apiguardian.source                   [1.1.2.v20211018-1956]
org.bouncycastle.bcpg                    [1.70.0.v20220507-1208]
org.bouncycastle.bcprov                  [1.70.0.v20220507-1208]
org.eclipse.ant.core                     [3.6.400.v20220317-1003]
org.eclipse.ant.core.source              [3.6.400.v20220317-1003]
org.eclipse.ant.launching                [1.3.300.v20220408-0629]
org.eclipse.ant.launching.source         [1.3.300.v20220408-0629]
