com.google.code.atinject.tck             [1.1.0.v20150813-0925]
com.ibm.icu                              [56.1.0.v201601250100]
com.ibm.icu.source                       [56.1.0.v201601250100]
com.jcraft.jsch                          [0.1.53.v201508180515, 0.1.54.v20170116-1932]
com.jcraft.jsch.source                   [0.1.53.v201508180515, 0.1.54.v20170116-1932]
com.sun.el                               [2.2.0.v201303151357]
com.sun.el.source                        [2.2.0.v201303151357]
javax.annotation                         [1.2.0.v201602091430]
javax.annotation.source                  [1.2.0.v201602091430]
javax.el                                 [2.2.0.v201303151357]
javax.el.source                          [2.2.0.v201303151357]
javax.inject                             [1.0.0.v20091030]
javax.inject.source                      [1.0.0.v20091030]
javax.servlet                            [3.1.0.v201410161800]
javax.servlet.jsp                        [2.2.0.v201112011158]
javax.servlet.jsp.source                 [2.2.0.v201112011158]
javax.servlet.source                     [3.1.0.v201410161800]
javax.xml                                [1.3.4.v201005080400]
org.apache.ant                           [1.9.6.v201510161327]
org.apache.ant.source                    [1.9.6.v201510161327]
org.apache.batik.css                     [1.7.0.v201011041433]
org.apache.batik.css.source              [1.7.0.v201011041433]
org.apache.batik.util                    [1.7.0.v201011041433]
org.apache.batik.util.gui                [1.7.0.v200903091627]
org.apache.batik.util.gui.source         [1.7.0.v200903091627]
org.apache.batik.util.source             [1.7.0.v201011041433]
org.apache.commons.codec                 [1.6.0.v201305230611]
org.apache.commons.fileupload            [1.2.2.v20111214-1400]
org.apache.commons.io                    [2.2.0.v201405211200]
org.apache.commons.jxpath                [1.3.0.v200911051830]
org.apache.commons.jxpath.source         [1.3.0.v200911051830]
org.apache.commons.logging               [1.1.1.v201101211721]
org.apache.commons.logging.source        [1.1.1.v201101211721]
org.apache.felix.gogo.command            [0.10.0.v201209301215]
org.apache.felix.gogo.command.source     [0.10.0.v201209301215]
org.apache.felix.gogo.runtime            [0.10.0.v201209301036]
org.apache.felix.gogo.runtime.source     [0.10.0.v201209301036]
org.apache.felix.gogo.shell              [0.10.0.v201212101605]
org.apache.felix.gogo.shell.source       [0.10.0.v201212101605]
org.apache.httpcomponents.httpclient     [4.3.6.v201511171540]
org.apache.httpcomponents.httpcore       [4.3.3.v201411290715]
org.apache.jasper.glassfish              [2.2.2.v201501141630]
org.apache.jasper.glassfish.source       [2.2.2.v201501141630]
org.apache.lucene.analysis               [3.5.0.v20120725-1805]
org.apache.lucene.analysis.source        [3.5.0.v20120725-1805]
org.apache.lucene.core                   [3.5.0.v20120725-1805]
org.apache.lucene.core.source            [3.5.0.v20120725-1805]
org.apache.mina.core                     [2.0.7.v201401071602]
org.apache.mina.core.source              [2.0.7.v201401071602]
org.apache.sshd.core                     [0.7.0.v201303101611]
org.apache.sshd.core.source              [0.7.0.v201303101611]
org.easymock                             [2.4.0.v20090202-0900]
org.eclipse.ant.core                     [3.4.100.v20160505-0642]
